
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-08-22 15:07:49 /login ................................................................................... ~ 5s
  2026-08-22 15:07:53 /api/captcha/request ..................................................................... ~ 7s
  2026-08-22 15:07:53 /login ................................................................................... ~ 9s
  2026-08-22 15:08:01 /login ................................................................................... ~ 5s
  2026-08-22 15:08:06 /login ................................................................................... ~ 2s
  2026-08-22 15:08:08 /dashboard ............................................................................... ~ 3s
  2026-08-22 15:08:33 /login ................................................................................... ~ 2s
  2026-08-22 15:08:35 /login ................................................................................... ~ 1s
  2026-08-22 15:08:35 /dashboard ............................................................................... ~ 3s
  2026-08-22 15:08:36 /build/assets/app-DDbAgoTg.css ........................................................... ~ 2s
  2026-08-22 15:08:36 /build/assets/index-C7MMbKvf.css ......................................................... ~ 2s
  2026-08-22 15:08:39 /build/assets/Login-BsPYP7Ic.js ..................................................... ~ 12.13ms
  2026-08-22 15:08:39 /build/assets/InputError.vue_vue_type_script_setup_true_lang-Oo4V1TZo.js ............ ~ 20.35ms
  2026-08-22 15:08:39 /build/assets/TextLink.vue_vue_type_script_setup_true_lang-CJA7Kv0G.js .............. ~ 21.22ms
  2026-08-22 15:08:39 /build/assets/app-DDbAgoTg.css ....................................................... ~ 0.60ms
  2026-08-22 15:08:39 /build/assets/AppSidebarLayout-C66usCqP.css .......................................... ~ 9.03ms
  2026-08-22 15:08:39 /build/assets/Dashboard-BatkB8L5.js .................................................. ~ 5.97ms
  2026-08-22 15:08:39 /build/assets/AppLayout.vue_vue_type_script_setup_true_lang-CDu5C6NJ.js ............. ~ 24.82ms
  2026-08-22 15:08:39 /build/assets/app-B1Zb6IqD.js ....................................................... ~ 34.27ms
  2026-08-22 15:08:39 /build/assets/index-dTeW3-Go.js ..................................................... ~ 30.49ms
  2026-08-22 15:08:39 /build/assets/arrow-up-right-BUfxKWwc.js ............................................ ~ 41.99ms
  2026-08-22 15:08:39 /build/assets/AppSidebarLayout.vue_vue_type_script_setup_true_lang-CSLWTG4v.js ...... ~ 28.48ms
  2026-08-22 15:08:39 /build/assets/createLucideIcon-CoZlq9ov.js ........................................... ~ 3.56ms
  2026-08-22 15:08:39 /build/assets/mail-BcIk-dkq.js ..................................................... ~ 514.53ms
  2026-08-22 15:08:39 /build/assets/activity-DzEtYjJ4.js ................................................... ~ 2.80ms
  2026-08-22 15:08:39 /build/assets/circle-check-Bi9Xmlom.js ............................................... ~ 5.24ms
  2026-08-22 15:08:39 /build/assets/circle-x-BMMTN5aS.js ................................................... ~ 7.49ms
  2026-08-22 15:08:39 /build/assets/zap-ZpEuA8PK.js ........................................................ ~ 2.21ms
  2026-08-22 15:08:39 /build/assets/index-BxH8y1zF.js ...................................................... ~ 7.08ms
  2026-08-22 15:08:39 /build/assets/index-BfIqpL0c.js ...................................................... ~ 0.12ms
  2026-08-22 15:08:39 /build/assets/VisuallyHidden-LkW1TJIT.js ............................................. ~ 3.36ms
  2026-08-22 15:08:39 /build/assets/useForwardExpose-blqrO72D.js ........................................... ~ 8.61ms
  2026-08-22 15:08:39 /build/assets/useForwardPropsEmits-B1RYwbEt.js ...................................... ~ 10.66ms
  2026-08-22 15:08:39 /build/assets/_plugin-vue_export-helper-DlAUqK2U.js .................................. ~ 0.21ms
  2026-08-22 15:08:39 /build/assets/smartphone-CYbcZnlg.js ................................................. ~ 2.33ms
  2026-08-22 15:08:39 /build/assets/puzzle-BZP4zm61.js ..................................................... ~ 0.08ms
  2026-08-22 15:08:39 /build/assets/chevron-right-B6TqFNqg.js .............................................. ~ 3.17ms
  2026-08-22 15:08:39 /build/assets/loader-circle-DteeGzBU.js .............................................. ~ 8.82ms
  2026-08-22 15:08:39 /build/assets/index-BxH8y1zF.js .................................................... ~ 633.11ms
  2026-08-22 15:08:39 /build/assets/AppSidebarLayout-C66usCqP.css .......................................... ~ 0.12ms
  2026-08-22 15:08:39 /build/assets/Checkbox.vue_vue_type_script_setup_true_lang-BrSRk1AB.js ............. ~ 624.60ms
  2026-08-22 15:08:39 /build/assets/Input.vue_vue_type_script_setup_true_lang-CIcm4hqe.js .................. ~ 6.55ms
  2026-08-22 15:08:36 /build/assets/app-B1Zb6IqD.js ............................................................ ~ 3s
  2026-08-22 15:08:39 /build/assets/Label.vue_vue_type_script_setup_true_lang-IhCc35Wo.js .................. ~ 0.07ms
  2026-08-22 15:08:39 /build/assets/Spinner.vue_vue_type_script_setup_true_lang-DRRxc679.js ................ ~ 0.78ms
  2026-08-22 15:08:39 /build/assets/index-kHxRQwS7.js ...................................................... ~ 0.05ms
